,skey,yy,signgu,rstrt_se,mnmnu,rstrt_nm,adres,telno,rstrt_mentn_co,kwrd_list,kwrd_list_fq_co,kwrd_all,rstrt_mentn_co_all,final_keywords
253,775,2020,양산시,한식,해장국,신라해장국(양산),상북면 소토로 77,055-375-8375,1,"양산, 해장국, 신라, 도움말, 맛집, 복사, 영상, 갈비찜, 광고, 내장, 상북면, 소요, 양산시, 이상, 자동, 재생, 전골, 전문, 추천, 코드","13, 11, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","양산,양산,양산,양산,양산,양산,양산,양산,양산,양산,양산,양산,양산,해장국,해장국,해장국,해장국,해장국,해장국,해장국,해장국,해장국,해장국,해장국,신라,신라,신라,신라,도움말,도움말,도움말,맛집,맛집,맛집,복사,복사,복사,영상,영상,영상,갈비찜,갈비찜,광고,광고,내장,내장,상북면,상북면,소요,소요,양산시,양산시,이상,이상,자동,자동,재생,재생,전골,전골,전문,전문,추천,추천,코드코드",0,양산 양산 양산 양산 양산 양산 양산 양산 양산 양산 양산 양산 양산 해장국 해장국 해장국 해장국 해장국 해장국 해장국 해장국 해장국 해장국 해장국 신라 신라 신라 신라 도움말 도움말 도움말 맛집 맛집 맛집 복사 복사 복사 영상 영상 영상 갈비찜 갈비찜 광고 광고 내장 내장 상북면 상북면 소요 소요 양산시 양산시 이상 이상 자동 자동 재생 재생 전골 전골 전문 전문 추천 추천 코드코드
254,781,2020,양산시,일식,회초밥,화림초밥,양산역4길 5(중부동),055-366-1288,1,"준비, 결혼, 가장, 공간, 부산, 사진, 소개, 신혼부부, 정보, 개월, 검색, 게시판, 결혼식, 고난, 공부, 기억, 끝내, 날짜, 놀이터, 단계","6, 5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","준비,준비,준비,준비,준비,준비,결혼,결혼,결혼,결혼,결혼,가장,가장,가장,공간,공간,부산,부산,사진,사진,소개,소개,신혼부부,신혼부부,정보,정보,개월,검색,게시판,결혼식,고난,공부,기억,끝내,날짜,놀이터,단계",0,준비 준비 준비 준비 준비 준비 결혼 결혼 결혼 결혼 결혼 가장 가장 가장 공간 공간 부산 부산 사진 사진 소개 소개 신혼부부 신혼부부 정보 정보 개월 검색 게시판 결혼식 고난 공부 기억 끝내 날짜 놀이터 단계
255,784,2020,양산시,한식,아구찜,대보름생아구찜,양주3길 15-4(중부동),055-385-5240,1,"체험, 아구찜, 포스팅, 후기, 쉬즈, 작성, 내용, 당첨, 링크, 매장, 반드시, 불가, 블로그, 사항, 하단, 구비, 기간, 대보름, 발표, 소독제","6, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2","체험,체험,체험,체험,체험,체험,아구찜,아구찜,아구찜,아구찜,아구찜,포스팅,포스팅,포스팅,포스팅,포스팅,후기,후기,후기,후기,후기,쉬즈,쉬즈,쉬즈,쉬즈,작성,작성,작성,작성,내용,내용,내용,당첨,당첨,당첨,링크,링크,링크,매장,매장,매장,반드시,반드시,반드시,불가,불가,불가,블로그,블로그,블로그,사항,사항,사항,하단,하단,하단,구비,구비,기간,기간,대보름,대보름,발표,발표,소독제소독제",0,체험 체험 체험 체험 체험 체험 아구찜 아구찜 아구찜 아구찜 아구찜 포스팅 포스팅 포스팅 포스팅 포스팅 후기 후기 후기 후기 후기 쉬즈 쉬즈 쉬즈 쉬즈 작성 작성 작성 작성 내용 내용 내용 당첨 당첨 당첨 링크 링크 링크 매장 매장 매장 반드시 반드시 반드시 불가 불가 불가 블로그 블로그 블로그 사항 사항 사항 하단 하단 하단 구비 구비 기간 기간 대보름 대보름 발표 발표 소독제소독제
256,787,2020,양산시,한식,민물매운탕,송강민물매운탕,용암3길 17-8(삼호동),055-365-1497,1,"매운탕, 민물, 양산, 추천, 더욱, 두산, 맛집, 부근, 위브, 이면, 정말, 친정엄마","3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1","매운탕,매운탕,매운탕,민물,민물,민물,양산,양산,추천,추천,더욱,두산,맛집,부근,위브,이면,정말,친정엄마",0,매운탕 매운탕 매운탕 민물 민물 민물 양산 양산 추천 추천 더욱 두산 맛집 부근 위브 이면 정말 친정엄마
257,793,2020,양산시,한식,추어탕,진송추어탕(양산),"중앙로 293-1, 1층(북정동)",055-389-1995,1,"정보, 공유, 또한, 말씀, 양산, 울산, 전하, 지역, 진송, 첫인상, 추어탕, 카페, 활동, 회원","3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","정보,정보,정보,공유,공유,또한,말씀,양산,울산,전하,지역,진송,첫인상,추어탕,카페,활동,회원",0,정보 정보 정보 공유 공유 또한 말씀 양산 울산 전하 지역 진송 첫인상 추어탕 카페 활동 회원
258,799,2020,양산시,한식,황태구이,진부령황태구이,하북면 신평로 122,055-372-3533,7,"수영구, 부산광역시, 번길, 황태, 칼국수, 반상, 휴게소, 광안동, 구이, 국밥, 남천동, 망미동, 진부령, 밀면, 비빔밥, 남천, 된장찌개, 비빔, 서울, 수영로","38, 37, 30, 16, 15, 13, 13, 12, 10, 10, 10, 9, 7, 6, 6, 5, 5, 5, 5, 5","수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,황태,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,칼국수,반상,반상,반상,반상,반상,반상,반상,반상,반상,반상,반상,반상,반상,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,휴게소,광안동,광안동,광안동,광안동,광안동,광안동,광안동,광안동,광안동,광안동,광안동,광안동,구이,구이,구이,구이,구이,구이,구이,구이,구이,구이,국밥,국밥,국밥,국밥,국밥,국밥,국밥,국밥,국밥,국밥,남천동,남천동,남천동,남천동,남천동,남천동,남천동,남천동,남천동,남천동,망미동,망미동,망미동,망미동,망미동,망미동,망미동,망미동,망미동,진부령,진부령,진부령,진부령,진부령,진부령,진부령,밀면,밀면,밀면,밀면,밀면,밀면,비빔밥,비빔밥,비빔밥,비빔밥,비빔밥,비빔밥,남천,남천,남천,남천,남천,된장찌개,된장찌개,된장찌개,된장찌개,된장찌개,비빔,비빔,비빔,비빔,비빔,서울,서울,서울,서울,서울,수영로수영로수영로수영로수영로",0,수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 수영구 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 부산광역시 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 황태 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 칼국수 반상 반상 반상 반상 반상 반상 반상 반상 반상 반상 반상 반상 반상 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 휴게소 광안동 광안동 광안동 광안동 광안동 광안동 광안동 광안동 광안동 광안동 광안동 광안동 구이 구이 구이 구이 구이 구이 구이 구이 구이 구이 국밥 국밥 국밥 국밥 국밥 국밥 국밥 국밥 국밥 국밥 남천동 남천동 남천동 남천동 남천동 남천동 남천동 남천동 남천동 남천동 망미동 망미동 망미동 망미동 망미동 망미동 망미동 망미동 망미동 진부령 진부령 진부령 진부령 진부령 진부령 진부령 밀면 밀면 밀면 밀면 밀면 밀면 비빔밥 비빔밥 비빔밥 비빔밥 비빔밥 비빔밥 남천 남천 남천 남천 남천 된장찌개 된장찌개 된장찌개 된장찌개 된장찌개 비빔 비빔 비빔 비빔 비빔 서울 서울 서울 서울 서울 수영로수영로수영로수영로수영로
259,809,2020,의령군,기타,소고기,금오암소한마당,대의면 대의로 53-7,055-572-9400,1,"맛집, 의령읍, 식당, 의령, 거창읍, 방송, 소바, 의령군, 대의면, 한식, 함양읍, 거창, 산청읍, 시천면, 요미, 함양, 국밥, 금서면, 메기, 본점","13, 13, 11, 8, 6, 6, 6, 5, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2","맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,의령읍,식당,식당,식당,식당,식당,식당,식당,식당,식당,식당,식당,의령,의령,의령,의령,의령,의령,의령,의령,거창읍,거창읍,거창읍,거창읍,거창읍,거창읍,방송,방송,방송,방송,방송,방송,소바,소바,소바,소바,소바,소바,의령군,의령군,의령군,의령군,의령군,대의면,대의면,대의면,대의면,한식,한식,한식,한식,함양읍,함양읍,함양읍,함양읍,거창,거창,거창,산청읍,산청읍,산청읍,시천면,시천면,시천면,요미,요미,요미,함양,함양,함양,국밥,국밥,금서면,금서면,메기,메기,본점본점",0,맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 의령읍 식당 식당 식당 식당 식당 식당 식당 식당 식당 식당 식당 의령 의령 의령 의령 의령 의령 의령 의령 거창읍 거창읍 거창읍 거창읍 거창읍 거창읍 방송 방송 방송 방송 방송 방송 소바 소바 소바 소바 소바 소바 의령군 의령군 의령군 의령군 의령군 대의면 대의면 대의면 대의면 한식 한식 한식 한식 함양읍 함양읍 함양읍 함양읍 거창 거창 거창 산청읍 산청읍 산청읍 시천면 시천면 시천면 요미 요미 요미 함양 함양 함양 국밥 국밥 금서면 금서면 메기 메기 본점본점
260,820,2020,함안군,한식,불고기,솔밭가든,법수면 윤외리 534-3,055-582-3240,2,"게시, 게시판, 경우, 작성, 강아지, 규칙, 나들이, 대상, 양식, 위반, 장소, 데리, 소개, 우리, 이용, 특정, 함안, 가든, 가족, 강제","5, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1","게시,게시,게시,게시,게시,게시판,게시판,게시판,게시판,게시판,경우,경우,경우,경우,경우,작성,작성,작성,작성,강아지,강아지,강아지,규칙,규칙,규칙,나들이,나들이,나들이,대상,대상,대상,양식,양식,양식,위반,위반,위반,장소,장소,장소,데리,데리,소개,소개,우리,우리,이용,이용,특정,특정,함안,함안,가든,가족,강제",0,게시 게시 게시 게시 게시 게시판 게시판 게시판 게시판 게시판 경우 경우 경우 경우 경우 작성 작성 작성 작성 강아지 강아지 강아지 규칙 규칙 규칙 나들이 나들이 나들이 대상 대상 대상 양식 양식 양식 위반 위반 위반 장소 장소 장소 데리 데리 소개 소개 우리 우리 이용 이용 특정 특정 함안 함안 가든 가족 강제
261,821,2020,함안군,한식,삼계탕,국보삼계탕,산인면 모곡리 1195-1,055-585-7383,1,"무학산, 미련, 설악산, 예약, 장복, 저리, 취소","1, 1, 1, 1, 1, 1, 1","무학산,미련,설악산,예약,장복,저리,취소",0,무학산 미련 설악산 예약 장복 저리 취소
262,828,2020,함안군,한식,민물장어,나룻터가는길,법수면 주물리 405-8,055-582-4501,1,"맛집, 인근, 갑자기, 검색, 나룻, 밑반찬, 장어, 지역, 진곳, 추천, 필수, 함안","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","맛집,맛집,인근,인근,갑자기,검색,나룻,밑반찬,장어,지역,진곳,추천,필수,함안",0,맛집 맛집 인근 인근 갑자기 검색 나룻 밑반찬 장어 지역 진곳 추천 필수 함안
263,835,2020,함안군,한식,한식,신풍식육식당,법수면 윤외리 177,055-584-2033,8,"냉면, 함안, 식당, 풍식, 육수, 고기, 도착, 만두, 맛집, 사람, 신랑, 정말, 함안군, 곱빼기, 날씨, 냉면집, 물냉면, 법수면, 보통, 비빔냉면","13, 10, 9, 7, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2","냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,냉면,함안,함안,함안,함안,함안,함안,함안,함안,함안,함안,식당,식당,식당,식당,식당,식당,식당,식당,식당,풍식,풍식,풍식,풍식,풍식,풍식,풍식,육수,육수,육수,육수,육수,고기,고기,고기,도착,도착,도착,만두,만두,만두,맛집,맛집,맛집,사람,사람,사람,신랑,신랑,신랑,정말,정말,정말,함안군,함안군,함안군,곱빼기,곱빼기,날씨,날씨,냉면집,냉면집,물냉면,물냉면,법수면,법수면,보통,보통,비빔냉면비빔냉면",0,냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 냉면 함안 함안 함안 함안 함안 함안 함안 함안 함안 함안 식당 식당 식당 식당 식당 식당 식당 식당 식당 풍식 풍식 풍식 풍식 풍식 풍식 풍식 육수 육수 육수 육수 육수 고기 고기 고기 도착 도착 도착 만두 만두 만두 맛집 맛집 맛집 사람 사람 사람 신랑 신랑 신랑 정말 정말 정말 함안군 함안군 함안군 곱빼기 곱빼기 날씨 날씨 냉면집 냉면집 물냉면 물냉면 법수면 법수면 보통 보통 비빔냉면비빔냉면
264,844,2020,함안군,한식,정식,사랑채(함안),여항면 내곡리 446-3,055-585-9252,1,"사랑, 씨름, 계산, 김성하, 대한민국, 동영상, 미소, 보고, 사장, 생선, 와이프, 이재안, 입가, 장사, 절로, 점심, 정식, 카운터, 함안, 화이팅","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","사랑,사랑,씨름,씨름,계산,김성하,대한민국,동영상,미소,보고,사장,생선,와이프,이재안,입가,장사,절로,점심,정식,카운터,함안,화이팅",0,사랑 사랑 씨름 씨름 계산 김성하 대한민국 동영상 미소 보고 사장 생선 와이프 이재안 입가 장사 절로 점심 정식 카운터 함안 화이팅
265,853,2020,함안군,한식,"한방갈비찜,양평해장국",양평해장국(함안),산인면 신산리 566-2,055-582-2030,3,"부산, 인천, 일정, 진행, 함안, 거제, 거제도, 계약, 계획, 관계, 그간, 근처, 김천, 다리미, 대한, 맛집, 매매, 변경, 선회, 스팀","2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","부산,부산,인천,인천,일정,일정,진행,진행,함안,함안,거제,거제도,계약,계획,관계,그간,근처,김천,다리미,대한,맛집,매매,변경,선회,스팀",0,부산 부산 인천 인천 일정 일정 진행 진행 함안 함안 거제 거제도 계약 계획 관계 그간 근처 김천 다리미 대한 맛집 매매 변경 선회 스팀
